#
# The format of the file is the DMR Id followed by the callsign
#
# ID    Call
2042011 PD3VKF
2042012 PE1JPQ
2042013 PD2EAW
2042014 PA3GLG
2042015 PA7J
2042016 PD0BM
2042017 PE1GXW
2042018 PD0KDF
2042019 PD2TAZ
2042020 PD9ND
2042021 PE1OCD
2042022 PA3L
2042023 PA7M
2042024 PD3RVO
2042025 PA3MSF
2042026 PD2MAR
2042027 PA1L
2042028 PE0VBT
2042029 PD0PQO
2042030 PE1NVA
2042031 PE1NVA
2042032 PA1LQS
2042033 PE1PNF
2042034 PD0RJI
2042035 PA2ZZ
2042036 PA0JGS
2042037 PA3HGT
2042038 PD0NRH
2042039 PG3R
2042040 PA2JPD
2042041 PD7N
2042042 PD0MOH
2042043 PI9XXV
2042044 PA1FW
2042045 PA1LQS
2042046 PD0DNL
2042047 PA4GER
2042048 PA1MBW
2042049 PA3DFI
2042050 PD5P
2042051 PD5P
2042052 PE1RTT
2042053 PA3FRH
2042054 PA3FRH
2042055 PA1NJK
2042056 PA1NJK
2042057 PA3CTA
2042058 PD1RL
2042059 PE9M
2042060 PD3EM
2042061 PA1JOS
2042062 PD8RVW
2042063 PA1F
2042064 PD7JK
2042065 PE1CCN
2042066 PD3ADN
2042067 PA3FTT
2042068 PA3CGE
2042069 PD5RD
2042070 PA2LAD
2042071 PD2RVO
2042072 PD5EE
2042073 PD9JG
2042074 PD3GB
2042075 PA3FBT
2042076 PA0MAG
2042077 PD9FJ
2042078 PE1MR
2042079 PD0RBI
2042080 PD3HBR
2042081 PD2ATG
2042082 PG9H
2042083 PD0KDF
2042084 PD2RKG
2042085 PA5K
2042086 PE1OBZ
2042087 PD7HAC
2042088 PD2KMW
2042089 PD0CBL
2042090 PD2JV
2042091 PF1ARD
2042092 PD2FVL
2042093 PE2PVD
2042094 PA3SSB
2042095 PD4DYH
2042096 PD4E
2042097 PE3M
2042098 PE2APR
2042099 PA3AMD
2042100 PG4W
2042101 PD4SRL
2042102 PD0NOB
2042103 PA2HP
2042104 PE2MOS
2042105 PD4LIJ
2042106 PE2RVD
2042107 PA2WDR
2042108 PD1WAT
2042109 PD3SWO
2042110 PA3GUV
2042111 PD3ADN
2042112 PA7J
2042113 PA0GPE
2042114 PD2OT
2042115 PA1DD
2042116 PA7MB
2042117 PD0CBL
2042118 PD4M
2042119 PA2ST
2042120 PE4CE
2042121 PA1V
2042122 PD0ORB
2042123 PH3GAL
2042124 PA3WL
2042125 PD2PDZ
2042126 PA4LE
2042127 PD2GCM
2042128 PA1GVZ
2042129 PA4MIC
2042130 PA1RMY
2042131 PD2GCM
2042132 PD1LAN
2042133 PD0HNI
2042134 PD1DB
2042135 PE1JAL
2042136 PD0KNJ
2042137 PG3E
2042138 PE2DI
2042139 PD2ZAP
2042140 PD0NGZ
2042141 PD0POU
2042142 PD5HJ
2042143 PD3T
2042144 PA0ISK
2042145 PH2M
2042146 PD0D
2042147 PD1AJJ
2042148 PD1AEM
2042149 PE1PDC
2042150 PD7HL
2042151 PH7GIS
2042152 PA1CJT
2042153 PH1A
2042154 PE1AGO
2042155 PE1GFP
2042156 PD5HP
2042157 PD2CO
2042158 PA7PTT
2042159 PD7A
2042160 PA3FQX
2042161 PD9JG
2042162 PD1DER
2042163 PD0HLA
2042164 PE1RMQ
2042165 PD2CDF
2042166 PD5H
2042167 PA3DFN
2042168 PD0ADV
2042169 PE1PLR
2042170 PA7WB
2042171 PE1LPQ
2042172 PA4ERC
2042173 PD4RK
2042174 PA3H
2042175 PE1DST
2042176 PA3EFR
2042177 PE1MXU
2042178 PD1DMR
2042179 PA3JLM
2042180 PD4DFT
2042181 PD3RVH
2042182 PH0TR
2042183 PA2DKW
2042184 PA3ESJ
2042185 PE0RH
2042186 PD0BOR
2042187 PA5X
2042188 PA3EKI
2042189 PD2JHP
2042190 PE1OOP
2042191 PD2WVH
2042192 PA3JT
2042193 PH7THL
2042194 PE4JMW
2042195 PD1DMR
2042196 PA3BSG
2042197 PA7WP
2042198 PC5R
2042199 PD4F
2042200 PA1ER
2042201 PD2MAX
2042202 PD3WDK
2042203 PB0AHX
2042204 PE1KTU
2042205 PD8M
2042206 PE1PYT
2042207 PB0ANU
2042208 PA3FFU
2042209 PD8A
2042210 PD4KK
2042211 PD2HI
2042212 PA3ESZ
2042213 PA4COR
2042214 PD0MZ
2042215 PD0BBI
2042216 PE1PLZ
2042217 PA3GQZ
2042218 PE1HEW
2042219 PD7TF
2042220 PA7RL
2042221 PA2FP
2042222 PD4B
2042223 PA3GXU
2042224 PD2RVK
2042225 PD0CQ
2042226 PA3BGQ
2042227 PD3GR
2042228 PE4IR
2042229 PD1O
2042230 PD0NUD
2042231 PE2JDW
2042232 PA9F
2042233 PA3DLC
2042234 PA3AKP
2042235 PD2HTJ
2042236 PE0WRH
2042237 PE1REM
2042238 PA2MC
2042239 PE1OSQ
2042240 PB0NER
2042241 PA3HGL
2042242 PA8F
2042244 PA1L
2042245 PD3EEF
2042246 PD1EJO
2042247 PD0ECD
2042248 PE9R
2042249 PA3GKU
2043001 PA1MOS
2043002 PA1GF
2043003 PE1NWR
2043004 PE1BQE
2043005 PE1RJV
2043006 PE1RJV
2043007 PA1GF
2043008 PA3GER
2043009 PA0ETE
2043010 PH4X
2043011 PA7ML
2043012 PD2YA
2043013 PA3DLP
2043014 PD0KDP
2043015 PH4X
2043016 PA3GYM
2043017 PA3CPJ
2043018 PA3CSC
2043019 PE2MC
2043020 PA2DB
2043021 PE1LID
2043022 PC6REC
2043023 PD1JRN
2043024 PD2PW
2043025 PA3DM
2043026 PA4HAY
2043027 PE1GOU
2043028 PD2HPE
2043029 PA1MOS
2043030 PD0AUQ
2043031 PD0RAF
2043032 PD2PW
2043033 PA3GYM
2043034 PE1HCB
2043035 PD7X
2043036 PA0VDB
2043037 PI9XXU
2043038 PD0OZB
2043039 PE1MPZ
2043040 PC3M
2043041 PE1NPE
2043042 PA7LIM
2043043 PD2RVZ
2043044 PD0ZRY
2043045 PC3D
2043046 PA3GDP
2043047 PA1EDL
2043048 PD0OTD
2043049 PD0ZX
2043050 PA3ETK
2043051 PD1JMB
2043052 PD0WVD
2043053 PA3HFU
2043054 PA3BKL
2043055 PA1EDL
2043056 PD2GTB
2043057 PD2TMS
2043058 PE1ARN
2043059 PA5TIG
2043060 PD0GAN
2043061 PA1LIO
2043062 PD3RFR
2043063 PA3FMK
2043064 PD4D
2043065 PD0NUW
2043066 PE1DON
2043067 PA1GM
2043068 PA0ZXY
2043069 PD0JBR
2043070 PA3EJE
2043071 PA3MET
2043072 PA1JMR
2043073 PA3ATR
2043074 PD4D
2043075 PD0LJZ
2043076 PA0VDB
2043077 PA9MB
2043078 PA5MN
2043079 PH4M
2043080 PD5R
2043081 PA7AAA
2043082 PC2C
2043083 PE1JKR
2043084 PD0LTR
2043085 PD0JEW
2043086 PC0NUL
2043087 PD0ASL
2043088 PD0ZRY
2043089 PA0SAR
2043090 PD2MT
2043091 PA9MD
2043092 PD3UTR
2043093 PA0MPL
2043094 PE1RQF
2043095 PD1BT
2043096 PA1JAL
2043097 PD0G
2043098 PD0OM
2043099 PH7WIM
2043100 PA7PF
2044001 PD4RS
2044002 PD4RS
2044003 PA7DVM
2044004 PC4W
2044005 PA0JOP
2044006 PD3R
2044007 PD1FKM
2044008 PA3DYA
2044009 PA3DYA
2044010 PD9MK
2044011 PE1OQP
2044012 PE1PLM
2044013 PE1HIO
2044014 PD0FEB
2044015 PD0NAH
2044016 PH3UNX
2044017 PD0HBS
2044018 PE1MFS
2044019 PE1KAP
2044020 PD0PKG
2044021 PA3GJL
2044022 PD4FMJ
2044023 PD1FKM
2044024 PA3FKY
2044025 PA0HMV
2044026 PA0JKW
2044027 PA3DNR
2044028 PE1CTK
2044029 PA0EVO
2044030 PA3UL
2044031 PE2KMV
2044032 PE1RMN
2044033 PE1ASK
2044034 PA3GOC
2044035 PD0FEB
2044036 PA3HDZ
2044037 PD0RJT
2044038 PE2ERK
2044039 PA3TOP
2044040 PE1NPX
2044041 PD2FRE
2044042 PA3AEH
2044043 PA3ATT
2044044 PA3ETC
2044045 PE1PTS
2044046 PE9GHZ
2044047 PD0EJN
2044048 PD0ACZ
2044049 PD5CW
2044050 PB1SAM
2044051 PA0HRA
2044052 PE1PTS
2044053 PA0EJH
2044054 PE1B
2044055 PA4AP
2044056 PD0GHV
2044057 PD2OK
2044058 PE0FK
2044059 PD2HKZ
2044060 PD1MRZ
2044061 PA3CGK
2044062 PC9DB
2044063 PA3ENP
2044064 PB1HF
2044065 PA3GTO
2044066 PA3FMD
2044067 PD5B
2044068 PA3DZA
2044069 PD5LB
2044070 PD7S
2044071 PA3GDS
2044072 PE9GRC
2044073 PA3BEY
2044074 PA0RKT
2044075 PD4AVO
2044076 PA3GWO
2044077 PD2BVG
2044078 PD0BLR
2044079 PD1ABK
2044080 PA3FKH
2044081 PA7DX
2044082 PA3YP
2044083 PE1JLX
2044084 PA7YL
2044085 PE3BB
2044086 PD5GB
2044087 PE1RLN
2044088 PD4RA
2044089 PD1RO
2044090 PE1ISS
2044091 PA5DB
2044092 PH5T
2044093 PD4TM
2044094 PD3HRT
2044095 PA4JAM
2044096 PD1RC
2044097 PE1FMW
2044098 PD9GM
2044099 PE1NZG
2044100 PA3GEP
2044101 PE1ORD
2044103 PE1KGX
2044104 PD3JDM
2044105 PA3GRR
2044106 PD5TON
2045001 PD0AQK
2045002 PD0AQK
2045003 PA0RTU
2045004 PA0HWB
2045005 PE1DGW
2045006 PE1DGW
2045007 PI5FTS
2045008 PD9BG
2045009 PD9BG
2045010 PD8KRW
2045011 PD8KRW
2045012 PD1GWF
2045013 PD0ROY
2045014 PD1PYF
2045015 PD1ANF
2045016 PI4KAR
2045017 PC1X
2045018 PA3CRL
2045019 PE1RMO
2045020 PA1WB
2045021 PD0NME
2045022 PA3DAN
2045023 PE1KYH
2045024 PD1GWF
2045025 PD2EBH
2045026 PE1AR
2045027 PE1OPM
2045028 PD2EBH
2045029 PE1RFF
2045030 PD4J
2045031 PD1AMK
2045032 PI9XXX
2045033 PA2JDB
2045034 PE1SAY
2045035 PD3EPM
2045036 PA3PVG
2045037 PE1SAY
2045038 PA3FQK
2045039 PA3HMP
2045040 PA3DZW
2045041 PD5V
2045042 PD0LEX
2045043 PA3CWQ
2045044 PD2ARO
2045045 PA1TLO
2045046 PE2AAB
2045047 PD0REM
2045048 PD0RSP
2045049 PA3FAT
2045050 PE1MYS
2045051 PA0WCH
2045052 PD4TX
2045053 PE1MSZ
2045054 PA1PXL
2045055 PE0PLE
2045056 PA2U
2045057 PD1PME
2045058 PE5YES
2045059 PA3DP
2045060 PE1PQF
2045061 PE1PMD
2045062 PA3ECL
2045063 PA3E
2045064 PD4AJM
2045065 PE1PMD
2045066 PA3GMD
2045067 PA1BM
2045068 PA0RPA
2045069 PA3GUU
2045070 PB0P
2045071 PA1RB
2045072 PH3V
2045073 PD2HAD
2045074 PD0PJH
2045075 PA7JWC
2045076 PB2A
2045077 PH9GFB
2045078 PE2HD
2045079 PD1ARJ
2045080 PD4WLF
2045081 PD4AZM
2045082 PE0SSB
2045083 PD1EDS
2045084 PD2BRS
2045085 PE2MOL
2045086 PD5S
2045087 PD8B
2045088 PD0GIP
2045089 PA9LEX
2045090 PA3WT
2045091 PD0PNQ
2045092 PD1SV
2045093 PA2PAS
2045094 PE1ITR
2045095 PD4BOR
2045096 PD0MBU
2045097 PA3EHD
2045098 PE1PYC
2045099 PA7C
2045100 PD0JD
2045101 PA3JOS
2045102 PD7WZ
2045103 PA3RIS
2045104 PA1FT
2046001 PD2WGN
2046002 PA1WW
2046003 PD0PVL
2046004 PD0PVL
2046005 PA3ANB
2046006 PA3ANB
2046007 PE1MSW
2046008 PD2MB
2046009 PD1RA
2046010 PA1JR
2046011 PD2EZ
2046012 PE1BJV
2046013 PA2JIM
2046014 PD5MJF
2046015 PA1KR
2046016 PE1PKB
2046017 PE1PKB
2046018 PA1PAS
2046019 PD5HKR
2046020 PA1WW
2046021 PD5GMK
2046022 PD0MAC
2046023 PE1OPG
2046024 PE1OPG
2046025 PD0KHN
2046026 PD0CHF
2046027 PA3ASW
2046028 PA3THE
2046029 PE1MEW
2046030 PA3BAS
2046031 PE2CVF
2046032 PD0GHF
2046033 PA2BIN
2046034 PD2EDY
2046035 PA2OLD
2046036 PA3BKO
2046037 PD2RMV
2046038 PI9XXT
2046039 PD2MZ
2046040 PD4K
2046041 PG8M
2046042 PA3RD
2046043 PD0MAC
2046044 PA0VIC
2046045 PA3CPH
2046046 PE2CVF
2046047 PD0JX
2046048 PA1RBZ
2046049 PA3CDM
2046050 PE1ROG
2046051 PD0GHF
2046052 PD9FDG
2046053 PD0HRY
2046054 PD2M
2046055 PA0RWD
2046056 PD2JMS
2046057 PA4JAN
2046058 PD0HCV
2046059 PD5CVK
2046060 PD1ES
2046061 PD0KHN
2046062 PE1DSC
2046063 PI9XXS
2046064 PD0JX
2046065 PA2EM
2046066 PA1RIK
2046067 PE2K
2046068 PD0PDA
2046069 PA3EWR
2046070 PD0MHS
2046071 PA3DRO
2046072 PA3GSH
2046073 PD0LWA
2046074 PD9FDG
2046075 PD2M
2046076 PA3CNI
2046077 PA2HTX
2046078 PI5SGM
2046079 PA3NXW
2046080 PA4AE
2046081 PD5A
2046082 PE1NIB
2046083 PA1HR
2046084 PE1NAG
2046085 PA0DLN
2046086 PE0HBE
2046087 PD5DOF
2046088 PD3TB
2046089 PE1FDM
2046090 PD0JAC
2046091 PD8RW
2046092 PD1KD
2046093 PD2SYS
2046094 PA3AHI
2046095 PA0WBM
2046096 PE0F
2046097 PE1MBS
2046098 PD5CVK
2046099 PA1MVK
2046100 PA1LEX
2046101 PA7RM
2046102 PA3HDR
2046103 PA3FQC
2046104 PD0MR
2046105 PA0AAS
2046106 PA3EVM
2046107 PD2WGN
2046108 PD0NRW
2046109 PE1PTX
2046110 PE1GYD
2046111 PD0PHA
2046112 PD1BER
2046113 PA5ABR
2046114 PA2EH
2046115 PD0RT
2046116 PD1MLB
2046117 PD1RJ
2046118 PD0ATG
2046119 PH4TAA
2046120 PA9I
2046121 PA1NYM
2046122 PA5VK
2046123 PE1RES
2046124 PD0RB
2046125 PA9BT
2046126 PE1NHD
2047001 PD0ZWL
2047002 PD0ZWL
2047003 PA3ANG
2047004 PH0PPL
2047005 PD0POH
2047006 PE1GDF
2047007 PA2SHA
2047008 PA2SHA
2047009 PD0LKN
2047010 PD1ABY
2047011 PD1ABY
2047012 PA3ANG
2047013 PE1PYB
2047014 PE1PYB
2047015 PE1RF
2047016 PE1RF
2047017 PD1H
2047018 PA2AGW
2047019 PE0A
2047020 PA3BHC
2047021 PE1SDE
2047022 PA2AYX
2047023 PA2AYX
2047024 PE1PUK
2047025 PD1AJM
2047026 PE1PLO
2047027 PA0JMY
2047028 PA5CC
2047029 PE1SDE
2047030 PD0PDB
2047031 PA3HEB
2047032 PA2TSL
2047033 PD0SCS
2047034 PE1BZF
2047035 PI9XXR
2047036 PA3FUV
2047037 PD0AC
2047038 PD8R
2047039 PA3AQI
2047040 PE1SDE
2047041 PA3LEX
2047042 PD0HF
2047043 PE1AFZ
2047044 PA0DFN
2047045 PD0NMO
2047046 PA7AW
2047047 PG2P
2047048 PD1S
2047049 PD1BHZ
2047050 PA2RA
2047051 PD0AGS
2047052 PD1ALA
2047053 PA3CXB
2047054 PD5JHX
2047055 PD0POH
2047056 PE1MRN
2047057 PA3FFS
2047058 PD8R
2047059 PD0OZR
2047060 PE2HTB
2047061 PA3DPS
2047062 PD0LKN
2047063 PA3GWU
2047064 PD2DM
2047065 PE1PBQ
2047066 PA0ESH
2047067 PH0HI
2047068 PA1ART
2047069 PD1HS
2047070 PD9HDB
2047071 PD0WFS
2047072 PE7URK
2047073 PE1SCX
2047074 PD2RAM
2047075 PD1LOI
2047076 PE1RNU
2047077 PD1S
2047078 PA4NL
2047079 PA3EYF
2047080 PC2KY
2047081 PA4NL
2047082 PD7HJ
2047083 PD1WBS
2047084 PA2SQ
2047085 PD1JSH
2047086 PA2KA
2047087 PE5MIT
2047088 PE1LJS
2047089 PA3BEP
2047090 PD3KLV
2047091 PD0VDL
2047092 PD3BW
2047093 PA3CXB
2047094 PD9BN
2047095 PD0AVE
2047096 PA3DZX
2047097 PD0TDG
2047098 PD0GJH
2047099 PD2AD
2047100 PD9BTB
2047101 PE1BOF
2047102 PA0ZMD
2047103 PA4FH
2047104 PA3CPS
2047105 PA2K
2047106 PA3AKK
2047107 PD5JK
2047108 PA3HAH
2047109 PD3MAR
2047110 PE1HIS
2047111 PD9WM
2047112 PA1MB
2047113 PA1ROB
2047114 PD1ROB
2047115 PD5VEN
2047116 PD0RBS
2047117 PD3RVA
2047118 PA3FYS
2047119 PD0BBF
2047120 PA3ABS
2047121 PA2RIC
2047122 PD9Z
2047123 PD1ABC
2047124 PD7DX
2047125 PD2GVE
2047126 PA2HK
2047127 PH1JB
2047128 PE1MTS
2047129 PE2DFA
2047130 PE5JW
2047131 PE1ROX
2047132 PD0ONX
2047133 PA3FNT
2047134 PD1PJ
2047135 PD0OJD
2047136 PA2PME
2047137 PD0JDF
2047138 PE0RVA
2047139 PA3AUM
2047140 PA3DXL
2047142 PA0HLT
2048001 PD1ASH
2048002 PD1ALW
2048003 PE1PWF
2048004 PD0SDO
2048005 PE1SDA
2048006 PE1OLM
2048007 PE1OLM
2048008 PA2SNK
2048009 PD5HW
2048010 PD0HA
2048011 PD0KDN
2048012 PD0SEH
2048013 PE2AWT
2048014 PE1AWT
2048015 PA3GAZ
2048016 PA3BUE
2048017 PA3FZW
2048018 PD0SBC
2048019 PD0ADC
2048020 PD4DX
2048021 PE1CIK
2048022 PD2HVS
2048023 PD0HIF
2048024 PE1CIK
2048025 PD2AWD
2048026 PA4DEN
2048027 PA3GET
2048028 PA4TJ
2048029 PA2HH
2048030 PA3DIW
2048031 PD0CER
2048032 PA1HVD
2048033 PA2GHG
2048034 PD0RKC
2048035 PE1NMM
2048036 PI9XXQ
2048037 PD2JET
2048038 PA0SIP
2048039 PE1OID
2048040 PD0RUT
2048041 PD0OJJ
2048042 PD7JLP
2048043 PD2EVT
2048044 PA3GFY
2048045 PA1HVD
2048046 PD5RFX
2048047 PD0HDC
2048048 PD1RS
2048049 PD0MBY
2048050 PD0PBO
2048051 PH0K
2048052 PD2GKD
2048053 PC5E
2048054 PA1MLY
2048055 PD1B
2048056 PA5S
2048057 PE2AM
2048058 PA7SB
2048059 PA2AMJ
2048060 PA0TLE
2048061 PA3EPS
2048062 PD0RR
2048063 PH4D
2048064 PD2RCW
2048065 PA3FAH
2048066 PD0OYF
2048067 PD0RXP
2048068 PA0KNW
2048069 PE1NMM
2048070 PD8W
2048071 PE4KD
2048072 PD0JL
2048073 PA7MR
2048074 PD2RE
2048075 PA1AT
2048076 PD1JKS
2048077 PA7D
2048078 PI4FRG
2048079 PD1FB
2048080 PA2JAJ
2048081 PD3BB
2048082 PD1ANS
2048083 PD2BHP
2048084 PA7AVS
2048085 PA3FWZ
2048086 PD0FGQ
2048087 PD7WIM
2048088 PG0H
2048089 PD7D
2048090 PI4BG
2048091 PD2RVH
2048092 PA3RMM
2048093 PA0LVL
2048094 PA5RR
2048095 PD0LDX
2048096 PE1NAO
2048097 PD9K
2048098 PA2SV
2048099 PD2JP
2048100 PD0WTS
2048101 PD9X
2048102 PA2RK
2048103 PD0KV
2048104 PE1PIX
2048105 PD9G
2048106 PA3DJR
2048107 PE1MSU
2048108 PA3GOQ
2048109 PA3BVG
2048110 PA0JPL
2048111 PD2HB
2048112 PH5HP
2048113 PC2EBE
2048114 PD1LDB
2048115 PA3FSA
2048116 PA3ANT
2048117 PD1SCH
2048118 PE1RYN
2060001 ON4AIM
2060002 ON3AN
2060003 ON2WIK
2060004 ON7VFO
2060005 ON6FU
2060006 ON3SV
2060007 ON4PN
2060008 ON4AIM
2060009 ON7SD
2060010 ON3XI
2060011 ON2WIK
2060012 ON3DHC
2060013 ON3DHC
2060014 ON4IBM
2060015 ON3FV
2060016 ON4ASN
2060017 ON4UK
2060018 ON4SG
2060019 ON5DUR
2060020 ON1AUD
2060021 ON4AEY
2060022 ON4AEY
2060023 ON7FD
2060024 ON3BE
2060025 ON4CBZ
2060026 ON8HC
2060027 ON3WV
2060028 ON4EST
2060029 ON4OQ
2060030 ON6HC
2060031 ON5BD
2060032 ON3AGI
2060033 ON5AWE
2060034 ON3VJI
2060035 ON3FBL
2060036 ON3FBL
2060037 ON3MVJ
2060038 ON4DKM
2060039 ON4GPS
2060040 ON5KDJ
2060041 ON3DEF
2060042 ON3ULM
2060043 ON4DRX
2060044 ON7HLU
2060045 ON7ATV
2060046 ON8SD
2060047 ON2ALI
2060048 ON4WZ
2060049 ON3YH
2060050 ON8ODK
2060051 ON3GIM
2060052 ON7STV
2060053 ON3CV
2060054 ON5HC
2060055 ON3ML
2060056 ON7GU
2060057 ON8ZZ
2060058 ON3BSQ
2060059 ON4TOP
2060060 ON7QL
2060061 ON3SS
2060062 ON5MF
2060063 ON3GH
2060064 ON3KN
2060065 ON2LS
2060066 ON3DIP
2060067 ON4OS
2060068 ON7RM
2060069 ON3LAW
2060070 ON3VLS
2060071 ON3PHD
2060072 ON4ASG
2060073 ON1ARF
2060074 ON3BE
2060075 ON4MW
2060076 ON3VHK
2060077 ON3YP
2060078 ON4CGW
2060079 ON6FV
